,clean_text,sentiment
4825,tulisan supercopy atau replika sebaiknya ditulis lebih jelas lagi ditambahkan di nama produk kecuali jika memang mengincar juga pembeli yg kurang cermat seperti saya p,negative
4826,suara nya jelek bgd nerima maupun telp baterainya jg gak d pake sehari habis keypad nya jg susah,negative
4827,packaging bagus dan rapi respon bagus,positive
4828,warna tidak sesuai permintaan,negative
4829,makasi barangnya da diterima smoga ga ada masalah,positive
4830,casannya gak bs ngisi dan batre nya cpt habis,negative
4831,sangat kecewa ,negative
4832,barang sesuai pesanan mantullll,positive
4833,product sdh sampe mantabs tks,positive
4834,hp mendarat dg baik dan baguuus sekali,positive
4835,hsekali nokia tetap nokiaaaaaaaaaa,positive
4836,produk bukn nokia asli pengalaman sy beli hp d toko ini rusak qt retur proses lama pembeli cenderung tidk service konsumen rugi waktu rugi pikiran smoga lebih hati untk konsument baru sarn sy slalu gunakan kolom saransi agr trbantu bila sepengalaman sy tks,positive
4837,mantap barang sampai dengan selamat,positive
4838,barang sesuai pesanan paking rapih ok deh mantaaaaaaaap hp langsung pakai joosssss,positive
4839,gooodddd semuanyaaaaaaa pokonyaaaaaaaaa makasihhh yaaaaa,positive
4840,hp sesuai dengan deskripsi pokoknya mantap kan,positive
4841,barang sesuai pesanan penjual ramah respon cepat,positive
4842,brng tdk sesui pesan warna biru dkirm warna merah,negative
4843,barang sesuai deskripsi dari sisi fungsional kualitas barang kurang baik mungkin krn ini harganya murah lampu keypad hanya menyala sebagian batre longgar sehingga harus diganjal sy pakai kertas agar dapat berfungsi batre hanya tahan hari pagi malam kualitas suara kurang baik klo layanan dari toko cukup baik ,negative
4844,dulu sekitar tahun yang lalu pernah beli dari toko online berbeda dan harga kali lebih mahal saya kira harga ini karena sudah turun ternyata karena kualitasnya sesuai ,negative
4845,terima kasih gan sukses selalu ,positive
4846,pengiriman cepat hanya hpx tdk bisa putar musik n tobolx kurang bgs,negative
4847,ok brg sesaui pesanan cepat sampai,positive
4848,hp mini semoga awetttt finlandia punya,positive
4849,reccomended seller tks kerjasama nya,positive
4850,hp mati tidak bisa digunakan,negative
4851,sudah mendarat dengan aman ,positive
4852,mksh barang udh sampeeeeeee,positive
4853,barang bekerja dng norma murah paking rapi d bungkus buble wrap sayang respon penjual agak lama ,positive
4854,barang sesuai hargalah,positive
4855,barang ga bisa berfungsi dg baik ,negative
4856,ya recommended seller lah,positive
4857,produk mengecewakan kualitas barang jelek,negative
4858,maksi barangnya da di terima,positive
4859,nokia dah sampai sesuai pesanan,positive
4860,pengiriman cepat sesuai estimate barang sesuai dg harga goodjob,positive
4861,mantap semoga awet ,positive
4862,produk sudah sampai response cepat banget baik recommended saler,positive
4863,mantap brg bagus sesuai deskiripsi respun juga cepat belanja di toko ini sdh tdk diragukan lg,positive
4864,bluethooth merespon lama kayak gak aktif sim tidak bisa digunakan ,negative
4865,udh terima dngan baik tq,positive
4866,thanks barang sdh diterima sukses slalu,positive
4867,batre hp agak boros cuma bertahan jam,positive
4868,terimakasih banyaaaaaaaakkk,positive
4869,tolong di kasih opsi kurir jd bisa pilih atau di perbanyak kurirnya jd ga lama,negative
4870,barang sesuai dg pesanan dan berfungsi dg baik pengiriman cepat,positive
4871,hmmmmmmmmmmmmmmmmmmmmmm,negative
4872,bintang az yg brbcara ya,positive
4873,mantap pokoknyaa sesuai,positive
4874,mksh dah sampai barangnya good job,positive
4875,barang udh terima blm dibuka,positive
4876,produk original ,positive
4877,barang sudah di terima dengan baik dan sudah di manfaatkan,positive
4878,seller ramah barang sampai dengan selamat cuman agak terlambay gara kurir hehehe,positive
4879,good sesuai smua cepat sampe,positive
4880,ukuran dan warna sesuai dengan foto dan deskripsi,positive
4881,terima kasih barang sdh d terima pengiriman cepat,positive
4882,pengiriman terlambat karena kurir ekspedisi salah kirim barang cukup memuaskan,positive
4883,sudah d terima dengqn baik fast respons terimakasih,positive
4884,barang yang dikirim sesuai dengan pesanan thx,positive
4885,sesuai keinginan packing super aman dari benturan rekomendasi berbelanja di sini sukses selalu ,positive
4886,tombol nya dalam y susah mijit nya,positive
4887,sangat puas dengan hasilnya yang bagus,positive
4888,bluetooth nya ga bisa kalau packing sih rapi bagus,negative
4889,barang sesuai packing bagus pengiriman cepat,positive
4890,bintang yg berbicara yg pastinya brg sesuai deskripsi dan selalu pengiriman sampai tujuan,positive
4891,batre hp cepat habis alias boros,negative
4892,beli produk biji baterai nya bocor biji kaga bisa di charge mao kirim balik ongkir dll susah,negative
4893,barang baik cuma batunya gx awet,negative
4894,jooss markojoosss juragan,positive
4895,baterai ngedropan tiap jam abis padahal cuman stand by pketan isinya cuman hp amp cas gk ada dusbook ,negative
4896,hapenya baru dicoba saya beli yang satu baru dipakai semalam paginya udah gak beres nyala idup nyala idup restart sendiri batrenya tekor kita lihat hp yang satunya lagi ,negative
4897,thank you pake bgt udh sampe barangnya,positive
4898,okelah sesuai harga,positive
4899,alhmdllh sampai dengan bain barangnya dan sesuai dengan pesanan good job sukses,positive
4900,sip pengiriman cepat orang tua suka ,positive
4901,barang yg dikirim warna tidak sesuai dengan pemesanan sangat tidak berkualitas,negative
4902,belum mencobaaaaaaaaa,negative
4903,hatur nuhun barang tos katampi ,positive
4904,batere nya cpt habis ,negative
4905,produk nya bagus seller nya pengertian nice recommended seller ,positive
4906,sesuai deskripsi murah dan berkualitas sayang sedikit pengirimannya lumayan lama tapi secara keseluruhan rocomended lah,positive
4907,ukurannya lumayan kecil kurang puas di kualitas suaranya untuk menerima telepon suara penelponnya terlalu lirih,negative
4908,pengiriman lbh lama dri waktu estimasi,negative
4909,beli unit hp disini ga ada yg satupun yg bgus penjual bohong minta solusi ,negative
4910,respon sma pengirimannya cepet bngt klo dari kualitas barang sih harap maklum aja kn hp murah tp cocok buat yg butuh buat darurat pas hp lg d servis makasih bnyak ,positive
4911,brg sdh diterima dgn dus msh segel respon seller baik belum di coba so maaf star dl yah tks,positive
4912,barang sdh di trima packing rapi terima kasih,positive
4913,udak tdk diragukan lg di toko ini cepat respon and pelayanan memuaskan juga ramah dan harga bersahabat,positive
4914,udh nyampai gan paket nya maksih bnyak gan,positive
4915,diterima harga sesuai barang,positive
4916,cepat sampai fast respon dan recommended seller,positive
4917,barang sdah sampai kendala di kurir sja yg lama,positive
4918,barang diterima dengan baik ,positive
4919,sedikit kecewa soalny minta warna merah hitam tp yg d kirim merah semua pdahal d diskusi ktanya warna yg d pesan ad ,positive
4920,kiriman pesanan sudah diterima dengan baik terima kasih ,positive
4921,produk sesuai harga sesuai,positive
4922,barang sudah diterima thanks,negative
4923,mantap keren terjangkau,positive
4924,mantap pengiriman sangt cepat,positive
4925,mayan fungsionil murah lengkap,positive
4926,barang sesuai deskripsi thanks seller ,positive
4927,barang ok kw super banget,positive
4928,pesan x ini semua ada problem yg pesan pertama conektor baru sehari copot pesan ke kalender ngga bisa klop,negative
4929,barang sudah di terima dg baik thanks ,positive
4930,hp yg datang klo telfon ga ada suaranya kecewa sekali,negative
4931,barang yang dikirim sesuai dengan pesanan,positive
4932,semua berfungsi dengan baik thanks bosss,positive
4933,tidak ada masalah dan barang sesuai sama permintaan warnanya,positive
4934,produknya kw mudah rusak,negative
4935,pengiriman nya lama sekali,negative
4936,barang sampai sesuai dgn spctnya,positive
4937,pesanan sudah sampai ,negative
4938,terimakasi barang sudah sampe dengan baik,positive
4939,barang cepat sampai fast respon,positive
4940,sayangnya gak ada kartu garansi dan chasingnya gak nempel presisi,positive
4941,mantap barang sudah sampai terima kasih,positive
4942,packing rapi tapi sayang produk yg di berikan tidak sama pesan yg bagus mulai dari bodi sampai aplikasi yg y tidak sama mulai dri bodi sampai aplikasi ,negative
4943,sesuai pesenan moga awet ,positive
4944,barang dipacking dgn aman barang berfungsi dgn baik ,positive
4945,thanks produk sesuai pesanan,positive
4946,makasih juragan sdh sampai sesuai pesanan juga smoga awet ,positive
4947,produck sesuai pesanan,positive
4948,maksih bos barang sudah diterima dengan baik,positive
4949,ok barang lumayan sesuai dengan harganya,negative
4950,barang banyak cacatnya dikomplain lambat nunggu abis garansinya pokoknya ga usah dibeli,negative
4951,oqeeeeeeeeeeeeeeeeeeeee,positive
4952,hp kurang normal gampang mati kalo nerima telpon ,negative
4953,barang sampah bukan nokia ini kalo jualan yg bener km hpnya suka suka mati sendiri ,negative
4954,produk bagus dan biar bintang yg berbicara,positive
4955,baru sudah sampai dan mantap,positive
4956,paket sudah diterima sdh di coba semuanya normal sipp tqq,positive
4957,pesanan sudah sampai terima kasih,positive
4958,di deskripsi nya di tambahin barang replika biar gak kecewa pembeli nya tombol pada jemblos kecewa saya,negative
4959,respon penjual ok pengiriman cepat kemasan ok barang blom sempat di tes karena buat hadiah ,positive
4960,barang sesuai deskripsi cuma sayang yg saya kebagian yg bermasalah harus ganti batere ,negative
4961,proses sangat lama hari baru sampai tolong respon menerima ordernya dipercepat pembayaran jam malam baru di respon ordernya jam sore keesokan harinya ,negative
4962,respon cepat packing rapi kiriman cepat,positive
4963,prodykny di paketkan dg rapi,positive
4964,sesuai harga harga murah barang juga lumayan sesuai harga harga murah barang juga lumayan,negative
4965,barang sesuai rekomendasi produk ini ,positive
4966,cuma bertahan hari charger nya,negative
4967,bagus banget supercopy tpi bagus banget dah mudahan awet,positive
4968,hape kondisi bagus cuma charger baru berapa menit colok langsung mati gak bisa hidup lg,negative
4969,respond cepat hp ok mantappp,positive
4970,berfungsi dengan normal dan selalu puas perthankan bos ,positive
4971,pengiriman cepat barang bagus sukses selalu ,positive
4972,produk sangat memuaskan ,positive
4973,cepat kirimnya amp bagus barangnya,positive
4974,delivery sangat cepat hari nyampe terimakasih sukses selalu ,positive
4975,sesuai dengan pesanan dan bagus,positive
4976,order sdh sampai sesuai deskripsi sorry baru kasih review trimakasih,positive
4977,barang sesuai dgn gambar,positive
4978,paket dibungkus dng rapih dan bgs smoga unit nya sebagus dng packaging nya ,negative
4979,lumayan dengan harga segitu,negative
4980,pemesanan cpt sampai namun warna hp ga sesuai dg pesanan,positive
4981,top barang sesuai pesanan,positive
4982,barang sesuai harapan cuma nyampenya molor hari dari ketentua,positive
4983,ok baget cepat dan tepat ,positive
4984,mantab buat kawe kawe moga awetlah trims bos ,positive
4985,biasa aje tuh ,negative
4986,tq respon baik lumayan cepat packing rapih barang sesuai deskripsi smoga aweeet ,positive
4987,barang smp dg cepat dan keadaan bagus tapi knp di telpon g ada suaranya dri c hp di pake kan headset malah g suitable g pake headset suaranya g kedengar ,negative
4988,you get what you pay for namanya juga handphone murah ya kualitasnya di bawah rata rata body plastik yg kualitasnya tidak baik kalo nggak mau dibilang remdah masukin sim card susah pas udah berhasil masuk eh gak kebaca sim card nya udah gitu handphone nya nggak bisa getar ya balik lagi ke kalimat awal you get what you pay for ,negative
4989,mantaaaaaaaaappppppppppp,positive
4990,bagus smua kondisi baik dan di kemas rapi tq ,positive
4991,sangat puas dan susai dengan gambar,positive
4992,baru hari mati mau retur gak direspon bukan nokia ,negative
4993,produk sesuai dgn penjualan,positive
4994,sip kualitass mantap tetap dijaga kualitasnya gan,positive
4995,bagus sekali terimakasihhhhhh,positive
4996,barang sesuai pesanan tp dusnya penyok sedikit,positive
4997,fast respooonnnnnnn brg mndarat dgn selamat,positive
4998,hapenya berfungsi baik semoga awet terimakasih,positive
4999,bagus hp nya sesuai pesanan,positive
5000,barang cepat sampai kondiri rapih amp sesuai pesanan top bgt,positive
5001,nice barang mantap kiriman cepat,positive
5002,barang oke normal udah dicoba semoga awet,positive
5003,tidak ada sinyal nya udah nyoba pake kartu apa pun ,negative
5004,ulasan produknya sesuai semuanya mantappppppp,positive
5005,yyyyyyyuuuuuuhuuuuuuuu,positive
5006,pesen nya warna biru tapi di kirim warna hitam untung cuma hp murah,negative
5007,barang mantap namun sesikit kecewa layarna kaya yg bekas burem di kirain plastik padahal cacat,positive
5008,barang sesuai sama pesanan,positive
5009,barang sesuai packing rapi ,positive
5010,barang sdh di terima mudah an awet ,positive
5011,packing rapi pengiriman sesuai dgn estimasi yg diberikan penjual utk hp nya semoga awet ya thanks kakk,positive
5012,cakep sesuai psanan ,positive
5013,karuan beli produk china aja barange parah enteng kya krupuk suara speaker parah layar kya mainan bocah,negative
5014,barang nya bgus dan packing nya rapi makasihh,positive
5015,pesanan sudah saya trima mkasih,positive
5016,barangnya bagus belum ada yang rusak,positive
5017,tidak sesuai dengan apa yg di terangkan mirip kayak hp china,negative
5018,bagus cepat lanjutkan ,positive
5019,terima kasih banyak ooo tapi barang gak ori,negative
5020,mantap gan bintang yang berbicara ,positive
5021,hp lsg di cas tp blm dipake semoga sih baik aja respon dan packing ok full bubble wrap,positive
5022,mantapppppppppppppppppp,positive
5023,kacanya retak kaya hp second,negative
5024,makasih banyak ya uda diterima,positive
5025,hp tidak bisa mengeluarkan suara dering baterai drop jelekkk skali charger meledak,negative
5026,barang sudah sampai bos tp sangat sangat beda dgn nokia asli,positive
5027,barang bagus saya suka ,positive
5028,barang sdh sampai bos packing rafi trmksh,positive
5029,barang bagus semoga awettt ,positive
5030,thanks gan good job ,positive
5031,produk sesuai harga kemasan packingannya bagus ,positive
5032,barang di terima sesuai pesanan pengiriman cepat,positive
5033,brg ny uda rusak gan ada garansinya ,positive
5034,barang telah diterima dengan baik fast respon,positive
5035,barang bagus semoga awet,positive
5036,batterynya padahal full ngak sampe seharian sudah lowbet padahal ngak di pake succes terus kak amin,negative
5037,mksh gan brng dh ditrma ,positive
5038,produk sesuai gambar tapi di kartu sim ada kendala moga aja bisa di perbaiki,positive
5039,terimakasiiiiihhh ,positive
5040,pengiriman lambretta barang yah sesuai harga ya,negative
5041,barang sudah sya terima dengan mulus cuma kelengkapanya gk ada headseet doank apa emng gk ada dr cnanya ,positive
5042,handphonenya sesuai gambar alhamdulillah amp pengirimannya cepet nyampenya pelayanannya juga sangat ramah sopan ,positive
5043,ok barang ok punya pokoke sesuai deh manteeeppp semoga aweeettt selalu trimakasi salam sukses,positive
5044,sesuai pesanan barang normal tanpa cacat ,positive
5045,produk bagus dan terima kasih banyak ya pak sdh terima tepat waktu mantap ,positive
5046,sesuai deskripsi amp sesuai dengan gambar,negative
5047,barang sdh sampai thankyouuuu,positive
5048,gak bisa utk nelpon cuma bisa cek pulsa doang mau minta tukar,negative
5049,bagusss ssuai deskripsi pengiriman rapi,positive
5050,barang sudah sampai respon cepat untk barang ok lah sesuai dengan harga nya,positive
5051,sesuai dengan harganya ada rupa ada harga,negative
5052,barangx bagus customer sy nda komplen trimakasih ,positive
5053,sesuai pesanan terimakasih,positive
5054,hp mati saat penggunaan pertama dan gak mau nyala lagi,negative
5055,sangat bagus barang sesui,positive
5056,nokia kw yaaa ,negative
5057,packing rapih barang sesuai harga thx ,positive
5058,sesuai dengan harganya ,positive
5059,cepat dan bagus ,positive
5060,beli merah kok dikasih biru gan gan pie karepmu,negative
5061,gan knp setelah d pasang kartu hp gg nyala malah kedap kedip mulu,negative
5062,barang diterima dengan baik dan pelayanan memuaskan serta respon yang cukup cepat terimakasih admin ,positive
5063,bagus ko cuma ini emang dari sananya gak ada headsetnya ,positive
5064,thanks banget barangnya bagus,positive
5065,barang sudah sampai dengan baik packing baik barang berfungsi normal,positive
5066,oke barang terkirim cepat,positive
5067,mayaaaaaaaanlaaaaah ,positive
5068,cocok sesuai deskripsi price to performance ,positive
5069,barang sesuai pesanan tapi untuk kurir pengiriman nya sangat mengecewakan lama sekali saya menunggu,negative
5070,okehlah sesuai produknya,positive
5071,kualitas sesuai dengan harga trimakasih barangnya sudah sampai,positive
5072,ok semoga awet ,positive
5073,sipp sesuai dgn yg saya inginkan respon pelapak baik ,positive
5074,barang oke dan produk baik,positive
5075,barang bagus sesuai deskripsi cuman pngirimannya aja agak lama all out ok lah,positive
5076,mmmaaannttttaaappppp,positive
5077,niceeeeeeeeeeeeeeeeeeeeee,positive
5078,lumayaan lah buat hehehehehehe,negative
5079,sesuai orderan good trims,positive
5080,mantabbbbbbbbbb top sip,positive
5081,jual barang kw di keterangan ga di kasih keterangan barang kw tau gitu ga jadi transfer deh not recomended ,negative
5082,batre cepet habis kenpa ya lapak ,negative
5083,meski sdg libur lebaran proses jalan terus salut ,positive
5084,tq barang oke cuman cas gak bisa di pake ,positive
5085,lumayan walaupun terlihat ringkih tapi berfungsi sesuai kegunaan,positive
5086,barang sesuai gambar nya thanks,negative
5087,mantap brng nya kinclong ,positive
5088,bluetooth ga bisa ketemu sama hp lain ga bisa nemuin bluetooth hp lain menu musik ga bisa baca lagu yg ada di memori walau udh di refresh ,negative
5089,batre belum d pakai sudah abis alias dropp belom di pake padahal abis di carger belum sejam udah abis,negative
5090,packing oke dan fast respon ,positive
5091,sesuai dengan yang dideskripsikan,positive
5092,minta warna merah kenapa yang dikirim warna biru,positive
5093,terimakasih haturnuhun thanksyou,positive
5094,thanks paket sdh d terima ,positive
5095,barang sudah diterima cocok sesuai pesanan,positive
5096,siip banget barangnya pas,positive
5097,terima kasih barangnya sudah sampai dengan baik,positive
5098,thx udah sampai pengiriman lamaaaaaaaaaa,negative
5099,barang sesuai pesanan dan deskripsi terima kasih,positive
5100,paket sdh sy terima ya cukup saja walaupun tutup batre agak sedikit renggang dan kualitas bahan tdk seperti biasanya,negative
5101,bagus hp jadul batre awet,positive
5102,pengiriman cepat amp barang diterima dengan baik terimakasih,positive
5103,barang sesuai deskripsi packing rapi pengiriman cepat nice shop,positive
5104,produk si bagus tapi koq enteng bgt ringkih kaya bukan nokia tapi nokia yg lumayan lah buat di pake buat bisnis,positive
5105,sesuai dengan harga produk tersebut terimkasih ,positive
5106,okkkkkkkkkkkkkkkkkkkk okay,positive
5107,trima kasih barangnya sudah sampai dngn selamat ,positive
5108,seller sangat responsif ,positive
5109,barang sudah sampai sesuai pesanan,positive
5110,barang cepat sampai packing aman rapih ,positive
5111,produknya kurang memadai sepakernya suaranya gerosok yah sesuai harga deh,negative
5112,ok tks barang sdh diterima ,positive
5113,trimakasih barang sudah sampe,positive
5114,lumayan bagus walaupun masih agak telat pngiriman,negative
5115,mantap jiwa bisa buat jualan pulsa ehhee mantap jiwa bisa buat jualan pulsa ehhee mantap jiwa bisa buat jualan pulsa ehhee mantap jiwa bisa buat jualan pulsa ehhee mantap jiwa bisa buat jualan pulsa ehhee mantap jiwa bisa buat jualan pulsa ehhee,positive
5116,mannnntapaaakkkk benar mendarat dengan mulusss,positive
5117,bagus sesuai pesanan tpi jasa pengirimannya di perbanyak,negative
5118,cepat sampai juozzzz,negative
5119,thanks gan barang sudah nyampek ,positive
5120,batre gak awet barang ringkih,negative
5121,barang udah nyampe gan cek ok makasih banyak,positive
5122,terima kasih produk dtang sesuai pesanan,positive
5123,di terima tepat waktu terima kasih,positive
5124,barang diterima dengan baik terima kasih,positive
5125,produk sudah diterima dalam keadaan baik packing bagus kualiatas produk semoga awet ya thx ,positive
5126,terimakasih barang sudah saya terima,positive
5127,produk sesuai pesanan terima kasih ,positive
5128,alhmdulilah barang oke semoga awet aamiiin,positive
5129,makasi barangnya da diterima smoga berfungsi dgn baik,positive
5130,puasssssssss bgttttt mkcihh sukses sllu,positive
5131,fast respon n barang sesuai etalase tq,positive
5132,hp nya keliatan ringkih moga awet,negative
5133,pesan warna merah dikirim warna biru sangat mengecewakan ,negative
5134,barang sudah diterima dengan baik sudah saya coba hp nyala dan dalam keadaan baik cuman tombol kanannya agak keras terima kasih ,positive
5135,barang bagus dan fast respon,positive
5136,mantaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaapppppppp,positive
5137,hp ringkih gmpg rusak antara hp nokia atau replika,negative
5138,respon cepat pengiriman cepat item sesuai,positive
5139,barang diterima dalam keadaan baik baru thanks,positive
5140,lumayan lah ga ngecewain sesuai sama harga,negative
5141,cukup terima kasih produk sudah sampai,negative
5142,tks okee bangett sippp,positive
5143,terima kasih gan barang udh nyampe,positive
5144,yah lumayan sesuai harganya packingnya mantap jaya,positive
5145,barangnya sesuai sayangnya tutup hp kurang rapat ,positive
5146,cepet pengirimannya good service,positive
5147,koj batre nya boros banget yak ama sinyal gak muncul ,negative
5148,alhmdllh barang bagus tidak ada yg cacat terimakasih bwt toko yg bersangkutan dan juga bwt toko pedia,positive
5149,terimakasih sudah diterima barang nya,positive
5150,packing aman barang sesuai hargaa ,negative
5151,pengiriman cepat barang oke,positive
5152,bagus bagus sesuai gambar ,positive
5153,barang sesusai deskripsi thanks gan,positive
5154,lumayan diliat sama buat tlpluamayan dah tpi klo dipencet buat sms an kurang nyaman,negative
5155,recomendet tidak mengecewakan,positive
5156,barang sudah diterima terimakasih,positive
5157,expectasi tinggi ternyata setelah sampai amp lihat fisiknya terkesan ringkih casing nya baterai cepet abis gp sesuai hrga aja ,negative
5158,bagus sesuai harga ,positive
5159,ok bagus tepat waktu packing rapih,positive
5160,barang tiba dengan selamat terimkasih jaya sukses selalu ,positive
5161,prodack sesuai harga ,positive
5162,bagus packing aman terkendali terima kasih juragan,positive
5163,produk bagus mantapp sesuai hargaa lah makasihhhhh,positive
5164,untuk mendengarkan radio earphone tidak berfungsi sudah coba pakai handsfree pcs satu pun tidak ada yg terdengar saya mohon kedepan nya lebih teliti sebelum mengirim barangnya trims,negative
5165,pengiriman nya lamaaaaa,negative
5166,saya pesan warna hitam yg datang malah warna biru ga ada faktur pembeliannya sampainya lama lebih lama daripada jne reguler tpi terimakasih karena sudah menjual produk lebih murah daripada lapak lain ,negative
5167,biar bintang yg menjawab,positive
5168,sumpah saya kaget pas liat paketnya pas saya buka saya ketawa tapi hpnya bagus imut itu yh saya bikin ketawa dan berfungsi normal semua no minus lah,positive
5169,paraahhhhhh barang sesuai keinginan saya kecewa,positive
5170,apa hanya saya saja ya yang merasa kalau hape ini terasa sangat ringkih padahal setahu saya hape nokia iti build qualitynya sangat bagus agak kecewa sih tp semoga barangnya awet,negative
5171,pesen warna merah yang dikirim warna hitam ,negative
5172,harga bersahabat kualitas ok,positive
5173,makasih hp nya bagus sesuai dgn hrg nya,positive
5174,produk cukup baik dan pengiriman cepat,positive
5175,barangnya kualitasnya bagus masih terbungkus dengan rapi ,positive
5176,sesuai harga lah ,negative
5177,respon kurang segitudulu bintangnya barang jg blm di buka ,negative
5178,alhamdulillah barang nya sudah sampai,positive
5179,terima kasih sukses buat usahanya ga ,positive
5180,cepat sampai juozzzzz,negative
5181,produk sesuai harga dan gambar,positive
5182,barangnya cepat sampainya,positive
5183,terbaik dan pengiriman sangat rapih mohon di pertahankan gan,positive
5184,mantaaappp terima kasih banyak gan ,positive
5185,terimakasih barang berfungsi baik,positive
5186,respon cepat dan pengiriman jg cepat thanks,negative
5187,packaging aman barang sampai dengan selamat di jogja lancar jaya recommended seller ,positive
5188,ringan kaya hp ringan spiker telpon rusakkkk,negative
5189,barang sudah sampai dan bagius sesuai yang ada di gambar ,positive
5190,kualitas hp cukup baik dan respon cepat,positive
5191,pakcing rapi pengiriman cepat,positive
5192,batere drop susah di charge krn mgkn bermasalah,negative
5193,bagus dan sesuai di foto,positive
5194,murah tapi belum tahu kualitasnya,negative
5195,brang udah nympe mksihh,negative
5196,barang sesuai pesanan tapi kok gak ada kartu garansi ,positive
5197,penjual nya fast respon kualitas barang lumayan blom nyoba dipake tutup batrenya keras lobang cash jg rada seret maklum lah madein india btw sesuailah dgn harga semoga awet dan sukses selalu semuanya,positive
5198,brang telah diterima dgn baik,positive
5199,sejauh ini lancar jaya semoga hp ny awet aminnn,positive
5200,bagus responsible sukses ,positive
5201,mantaf hp nya lucu dtngnya cpt pula,positive
5202,lumayan kualitqsnyaaa,positive
5203,barang bagus,positive
5204,sangat bagus dan memuaskan,positive
5205,oke thanks ya we can my best,positive
5206,barang sudah sampai dan packing rapi,positive
5207,hp nya gampang mati sendiri amp saya tanya ternyata rekondisi cuma ganti kesing barangnya bukan ori nokia charger maupun baterainya semoga sukses jualannya ,negative
5208,produk bagus dan norml semua cuman senter lampu ga berfungsi tapi ga masalah ,positive
5209,sorry baru review fast respon and recommend seller thanks,positive
5210,bagussss terimakasi ,positive
5211,barang sudah sampai thankssss,positive
5212,tokepedia mantp puas peking rapih,positive
5213,mantap dan terimakasih ,positive
5214,baterai cepat habis lampu keypad tidak nyala semua ,negative
5215,tidak mengecewakannnnn,positive
5216,pengiriman cepat dan rapi terima kasih,positive
5217,murah pengiriman cepat tapi untuk casing tidak pas di hp jadinya tutup batteray tidak rapat ,positive
5218,dari awal hingga akhir semuanya bagus,positive
5219,ukuran dan warna sesuai dengan deskripsi produk yang dijual,positive
5220,sudah diterim dengan baik sesuai dengan pesanan,positive
5221,harga sangat baik begitu juga dg produk dan lama pengirimannya ,positive
5222,barang bagus dan harga mantap murahnya,negative
5223,mantap original product recomended,positive
5224,barang sudah mendarat dengan mulus packing rapih aman mantap,positive
5225,kelamaan pengiriman barang,negative
5226,pengiriman nya lama hari ke baru sampe smoga kdpnnya lebih cpt thanks anyway,negative
5227,seusai harga pengiriman lambat j amp t lambat bgt ,negative
5228,siiiiiipppppooooo ,positive
5229,beda sama nokia yg beli di counter hp kwalitas beda jauh,negative
5230,hati chargeran tidak berfungsi sama sekali,negative
5231,produk sesuai orderan cuma kurir jtnya yg lelet,positive
5232,meskipun barang kw tapi berkualitas asli maaf atas komplain nya ,negative
5233,packing rapi produk sesuai,negative
5234,barang ok sesuai packing nya rapih cuma konfirmasi smpe pengiriman agak sedikit lama tp ok kok,positive
5235,terima kasih barangnya udah sampai,positive
5236,baarng da sampe moga awet aja,positive
5237,barang baru sampai mantab,positive
5238,terimakasih produknya bagus proses pengiriman nya cepat ,positive
5239,barang sudah diterima dengan baik mantap ,positive
5240,barang dan warna sesuai permintaan dan sesua yang digambar fast respon thanks,positive
5241,barang sesuai respon cepat mksh ,positive
5242,barang lama nyampenya pesen tgl baru smape tgl ,negative
5243,thnx barang sampai dengan selamat,positive
5244,pengiriman sangat lama untuk daerah jakarta,negative
5245,barangyaaa gooddd jangan menyesall beli di toko ini ,positive
5246,terimakasih barang sampai dgn baik hx sja kurirx kurang agresif ,positive
5247,saya ga tau ini barang ori ato gak krn yg jelas kualitas hardware nya jelek plastik kasar tp ya sdh lha yg jelas nyesel ama kualitasnya makasih,negative
5248,kualitas lumayan sesuai harga,positive
5249,baik bagus sesuai dengan pesanan,positive
5250,sdh terima pesanan dgn packing yg rapi,positive
5251,barang sampe tepat waktu packing ok,positive
5252,terima kasih pak bos barangnya sdh di terima ,positive
5253,barang sesuai respon penjual cepat,positive
5254,kecewa berat lebih layak jadi hp mainan,negative
5255,gak sesuai dengan gambanya casing terkesang murahan tidak original nokia,negative
5256,bekerja dengan baik tapi sayangnya bukan nokia asli feelnya lebih mirip ke kw,negative
5257,hp jadul kondis baru ini dapat berfungsi sebagaimana mestinya hanya kualitas baterainya perlu dipertanyakan masak sehari saja sudah habis baterainya padahal digunakan jarang juga apakah baterai ini ori baterai tidak terkemas dan tanpa seal ,negative
5258,terima kasih gannnn ,positive
5259,casan a gx bisa dipake,negative
5260,maaf baru kasih respon barang sesuai gambar dan deskripsi mudah mudahan awet thanks ,positive
5261,mp gak bisa jauh dri harapan,negative
5262,barang sudah saya terima terimakasih,positive
5263,barang standart harga ekonomis terjangkau,positive
5264,barang sampai aman dan packing rapi sekali,positive
5265,packing rapih dan sampai dengan selamat,positive
5266,barang bagus sesuatu gambar packing rapi ,positive
5267,sudah sampai dengan selamat,positive
5268,barang sudah sampe trimakasih,positive
5269,casing belakang tidak sesuai dg contoh di gambar ,negative
5270,smoga brfungsi smua trims gan,positive
5271,hpnya ngerestart teruss nokia cap apa ini tdk sesuai dgn yg di harapkan,negative
5272,barang sudah sampe terima kasih,positive
5273,fast respond thaks good,positive
5274,barangnya sudah diterima dan ok bagus ,positive
5275,respon cepat packing bagus,positive
