,text,sentiment
1447,"paket udah diterima gan, paking dan barangnya mantap",positive
1448,blm di coba. semoga awet dan bagus..tanks gan :),positive
1449,"thanks gan,barangnya baru diterima ,belum dicoba......",positive
1450,ok barang sudah di terima...mantap.mkasih,positive
1451,makash ya gannnnnnnnnnnnnnnnnnnn,positive
1452,terimakasih gan barang sudah sampai dengan selamat,positive
1453,barang sudah sampai dan sesuai harapan,positive
1454,Biar bintang bicara deh... Terima kasih,positive
1455,barang Ok fast respon thanks gan,positive
1456,"thanks, gan, paket dh sampai, barang ok dn sesuai pesanan. recomended seller",positive
1457,terima kasih..............................,positive
1458,"Brg sudah terima. Pengiriman cepat. Kualitas barang bagus melebihi ekspektasi saya untuk barang ini. Sdh dicoba, mantap hasilnya. Recommended Seller.",positive
1459,produk bagus. mantap. sukses terus,positive
1460,ggdjkkjfkghfyhdjhugfvkchzndfjhadfafhjkkiutff,negative
1461,"Sudah sampai, terima kasih banyaaak",positive
1462,"WARNING !!!!    AWAS !!!!!   HATI-HATI !!!!!    Agan ini menjual barang MURAH tapi tidak MURAHAN !!!! Semoga banyak penjual barang di TOKOPEDIA seperti Agan ini, JUJUR and fast respon. Terimakasih Eddy Suryadi - Gunungsitoli",positive
1463,"Barang sdh sampe dgn baik, sukses yaa gan..",positive
1464,"Barang sudah diterima dengan baik, terima kasih.....",positive
1465,"Barang sdh diterima, thx.............",positive
1466,"produk yang datang memang sesuai dengan harga yang ditawarkan, dan semoga produk ini dapat menambah performa kerja saya.

pelayanan seller sangat memuaskan, cepat dan akurat.",negative
1467,Barang sesuai dengan iklan. Seller respond nya sangat cepat.,positive
1468,"Terima kasih, barang sudah sampai ditempat saya..berhubung lokasi penjual dengan saya tidak terlalu jauh..pengiriman cukup cepat dan produknya berfungsi dengan baik..",positive
1469,"TERIMA KASIH, sudah sampai kemarin",positive
1470,"barang sudah sampai...
kualitas ok.",negative
1471,"paket sudah smpai, cept dan rapi.
makasi gan....",positive
1472,Kualitas barang sesuai harga.. Recommended seller..,positive
1473,"thanks bos,
brg sudah ku terima.",positive
1474,"barang berfungsi baik,thanks transaksinya",positive
1475,"sip mantap cepat , memuas kan binggo",positive
1476,terima kasih...........................,positive
1477,"makasih gan, barang sudah diterima!",positive
1478,barang nya sangat bagus sekali dan snagat memuaskan,positive
1479,terima kasih gan barang sudah sampai maaf late review biarkan bintang berbicara,positive
1480,Mantapppppp.........barang nympe dgn sehat slamt...haaaa,positive
1481,thanks ya...................................,negative
1482,"hekternya sudah sampai, thaaannkkss bangeedd",positive
1483,bagus cepat murah mantab dah ...................... ane favoritin biar gampang klo beli lagi,positive
1484,thks ...........barang sudah diterima,positive
1485,Barang sudah diterima dengan baik terima kasih.,positive
1486,"udah diterima barangnya, gan ! Thanks",positive
1487,pesanan telah diterima lengkap dan utuh juga cepat. terima kasih.,positive
1488,sudah sampai....................................,positive
1489,Tidak cocok dengan yang 3 in 1,negative
1490,Okkkkkkkkkkkkkkkkkkk,positive
1491,Kurang bagus bahannya. Karena macet saat dipakai,negative
1492,barang dapat dipakai dengan baik,positive
1493,Barang sesuai dengan pesanan....Recommended seller.,positive
1494,Terima kasih............,positive
1495,sudah diterima sesuai pesanan. trims,positive
1496,makasih gan barang sudah sampai tujtuan,positive
1497,"paket sudah sampai
trimakasih............",positive
1498,terima kasih..............................................................,positive
1499,barang bagus sesuai dengan deskripsi....,positive
1500,barang dah diterima sesuai pesanan. semoga sukses selalu.,positive
1501,trimakasih brg sdh diterima dgn baik,positive
1502,sesuai dengan foto .. bagus'........,positive
1503,Barang oke  mantapppp................,positive
1504,A++++++++++++++++++++++++++++++++++++++++++++++++++++++++++,positive
1505,respon cepat dan kiriman cepat. thank you,positive
1506,"proses cepat, harga murah, barang bagus,.. tq boss",positive
1507,Cepat Rapi dan juga murah tapi gak murahan,positive
1508,makasih y gannnnnnnn?nnnnnnnnnnnn,positive
1509,terimakasih gan barang sudah sampai dengan selamat,positive
1510,barang sudah sampai dan sesuai harapan,positive
1511,"Bahan tebal dan bagus, sangat ccok di Hekter Tembak kami, gan ! Trims",positive
1512,terima kasih..............................,positive
1513,Good qlty. Moga2 bisa terus mempertahankan cara kerja seperti ini di masa mendatang.,positive
1514,mantap.kualitas bagus.tq .sukses terus,positive
1515,"Respon cepat, kualitas bagus. Recommend",positive
1516,"Barang sdh diterima, thx.........",positive
1517,thanks isi hekter sudah datang namun belum dicoba,positive
1518,Kualitas barang sesuai harga.. Recommended seller..,positive
1519,"makasih gan, barang sudah diterima!",positive
1520,barang nya mayan buatvstok ane yg udahbmau abis hehehe,positive
1521,Sudah sampai malam ini ................. Terima kasih,positive
1522,"Barang sudah diterima dengan baik, pelayanan yang baik dan cepat.",positive
1523,brang sudah diterima dan cocok...,positive
1524,pesanan telah diterima lengkap dan utuh juga cepat. terima kasih.,positive
1525,dah sampai...................................................,positive
1526,Barang sesuai deskripsi,positive
1527,"Brg sudah diterima sesuai deskripsi...
Terima kasih",positive
1528,barang aseli krisbow Ace hardware,positive
1529,"barang sudah di terima,,,thx",positive
1530,"Setelah di coba tidak menancap sempurna, atau mungkin karena dicoba di tempat yg lumayan keras ..",negative
1531,Terimakasih buku nya sdh sampai,positive
1532,Sangat sesuai dengan kebutuhanku,positive
1533,kiriman sampai gan......................................................makasih,positive
1534,Prodak sesui..pngiriman agak lama tingktkan lagi keceptan pngiriman,negative
1535,"Barang agak telat dtg nya,,,mudah mudahn bermanfaat,,awet",positive
1536,Barang udah sampai dan sesuai gan,positive
1537,Sip gan barang sudah sampe ....,positive
1538,"Paketnya sudah di terima dgn baik,terima kasih",positive
1539,"Mantap, berfungsi dengan baik gunstraplessnya",positive
1540,Bagus barangnya. Terimakasih Banyak..,positive
1541,"SELLER TIDAK KOMUNIKATIF, NIATNYA PAKE INSTANT COURIER BIAR SEGERA SAMPAI, TP BARANG DIKIRIM 2 HARI KEMUDIAN TANPA KABAR SAMA SEKALI, DITANYA GA BERANI BALAS, UDAH NGAJUIN PEMBATALAN TETEP AJA DIKIRIM TANPA DOSA.. SEMOGA GA ADA LAGI YG BUYER DAPET PERLAKUAN KYK GINI",negative
1542,👌🏻👌🏻👌🏻👌🏻👌🏻👌🏻👌🏻👌🏻👌🏻👌🏻,positive
1543,"Barang sesuai gambar. Tp responnya lama. Order kirim pake gosend same day, 2 hr br dikirim.",positive
1544,Barang bagus hanya saja kita bayar pakai JNE YES di kirim pakai Reguler sedikit kecewa lah mudah-mudahan kedepannya tambah sportif aja,positive
1545,"Barang sesuai pesanan, terimakasih",positive
1546,Barang sesuai dengan yg di gambar,positive
1547,barang sesuai penampakan dan diskripsi...tetapi ada isi yg ter tingal di dalam dan sulit keluar,positive
1548,gooddddddddddddddddddddddddd,positive
1549,"udah di coba, mantap......",positive
1550,Lumayan ajaaaaaa deh....,positive
1551,Barang sesuai.. tapi sayang respon sangat lambat..,positive
1552,SESUAI PESANAN MAKASIH TOPED,positive
1553,"Belum di coba, mudah2an sesuai harapan",negative
1554,bagus barangnya sesuai pesanan. pengiriman cepat,positive
1555,mantabbbb lahhhhhhhhhhhhhhhhhhhhhhhhh,positive
1556,mantabbbbb gannnnnnnnnnnnnnnnnnnnn,positive
1557,barang sudah diterima dgn baik,positive
1558,"barang sdh mndarat dngan selamat,, sesuai dengan digambar,, mdh""an awet,,
thx gan,,",positive
1559,mantap... cepat dan packing aman...,positive
1560,joooooooooooooooooooooooooooooooooooooooos,positive
1561,goooooooooooooooooooooooooooodddddddddddddddddddddddddddddd,positive
1562,"Harga kompetitif dr sebelah, barang ajib+sesuai deskripsi, seller mantab. 
Thanks ya gan udh dikirim cepet...",positive
1563,barang sudah diterima dengan baik .,positive
1564,"barang sudah diterima, terima kasih",positive
1565,good barang sampai dngan selamat packing bagus... brng sesuai,positive
1566,barang sudah diterima..tapi belum dicoba..recomended seller..,positive
1567,"barang bagus pake banget
pengiriman mantttap",positive
1568,barang sesuai pesanan respon cepat pengiriman cepat. thanks seller n tokopedia,positive
1569,maannnntttaaapppppp...........,positive
1570,Barang sudah sy trima bang/sis...tks u,positive
1571,biarlah bintang bicara ..........................,positive
1572,yerimakasih gannnn.........................,positive
1573,"Kualitas barang terbukti baik, akan tetapi barang yang diterima tidak sesuai dengan yang di pesan",positive
1574,barang sudah sampai.............,positive
1575,barang sudah di coba dan bekerja dengan baik,positive
1576,terima kasih barabg sudah diterima,positive
1577,"barang sesuai yang diinginkan, terima kasih",positive
1578,sudah diterima dengan baik dan selamat,positive
1579,"Barang sudah diterima, sesuai pesanan. Thanks gan...",positive
1580,"makasih ya gan.                 ,,",positive
1581,Barang bagus...bisa kepake langsung,positive
1582,"nice, good stuff, terimakasih",positive
1583,Makasih juragannnnnnnnnnnnn,positive
1584,barang sesuai deskripsi,positive
1585,"Terima kasih, barang sudah diterima dengan baik",positive
1586,"Barang bagus sesuai gambar, pengiriman cepat",positive
1587,Terima kasih. Paket dah sampai.,positive
1588,Barang ssesuai gambar dan pengirimannya cepat..,positive
1589,barang sesuai pengiriman cepat,positive
1590,"apalagi ini,,, okeehhh...",positive
1591,trima kasih....response cepat,positive
1592,barang dah sampe  sesuai gambar makasih ya,positive
1593,pengiriman cepat dan fungsi dengan baik thanks,positive
1594,barang sudah diterima dan sudah di coba. pengiriman sangat cepat juga,positive
1595,Thanks barang nya sudah sampai dan diterima dg baik,positive
1596,terimakaaaassiiiiiiiiiihhhhh semoga tambah laris tokonya ya kaka,positive
1597,"Bagus sesuai dengan yang dipesan, datangnya tepat waktu..... Thenks toko pedia",positive
1598,"Respon cepat, pengiriman cepat. Pilih paket regular sampenya juga cuma sehari. Thanks ya bos!",positive
1599,Good........................................,positive
1600,stepless ok...........sip lah,positive
1601,pengiriman cepat kualitas barang bagus.  thanks,positive
1602,"cepet bgt sampenya
bagus deh, semoga jne selalu begitu dan penjual juga fast respon. mantep deh pokoknya.
makasih ya..",positive
1603,mantap gan...  barang sudah dicoba.  hasilnya sesuai harapan.  thx,positive
1604,thanks barang dah sampe. pengiriman cepat,positive
1605,siiip.......................... ;),positive
1606,"respon cepat, barang sesuai. thx gan",positive
1607,terima kasih barang sudah diterima dengan baik,positive
1608,terima kasih banyak barang sudah sampai,positive
1609,thanks gan barang udah d trima dan berfungsi baik fast respon sisany biar bntang yg bicara,negative
1610,"barang nya kayak bekas ya gan..
tapi pengiriman ceoat",negative
1611,"Maaf baru sempet ksh ulasan.. Brg udh diterima 2 hari yg lalu.. Alatnya udh dicoba, berfunsi dgn baik.. Mksh yaa.. :)",positive
1612,Barang udah nyampe walopun aga lama,positive
1613,Barang sesuai gambar... walau sedikit slow respon tp masih OK.. thx Gan,positive
1614,Terima ksih...ssuai hrpn...puas..,positive
1615,"Thxs gan, barangnya sdh diterima dgn baik.",positive
1616,"Barang sudah diterima, kemasan bagus...terimakasih",positive
1617,gooooooooooooooooood,positive
1618,"Respon seller cepat, pengiriman super cepat, produk sesuai deskripsi. Terima kasih.",positive
1619,"Barang sudah sampai gan, blom di coba sih. Semoga aja awet gan. Thanks ya",positive
1620,Selamat sampai tujuan..recommended lah...,positive
1621,Barang sesuai dgn gambar dan berfungsi. Moga2 awet,positive
1622,Makasih gan hasil bagus sudah dicoba.,positive
1623,biarkan bitang yang berbicara,positive
1624,"barang sesuai ekspektasi lumayan kuat nancapnya,kemasan juga rapi,seller fast respon recommended.cuma sayang kurirnya saat checkout tertulis 2-4 hari nyatanya seminggu lebih baru nyampe",positive
1625,Barang sudah diterima,positive
1626,Pengiriman sngat cpt. Produk sesuai deskripsi. Makasih byk bosq.. sukses slalu..,positive
1627,Barang diterima dgn baik. Trims,positive
1628,Good product... great service,positive
1629,Barang sesuai deskripsi,positive
1630,Barang oke.. material sangat kokoh.. mantap!,positive
1631,Barang telah diterima. Trims,positive
1632,"Barang sudah di terima,thanks ya",positive
1633,"Produk bagus, sesuai deskripsi, pengiriman cepat",positive
1634,Sangat bagus dan respon yang cepat,positive
1635,"Bagus, sesuai deskripsi, packaging produk terlihat baru, semua berfungsi normal. Pesan tanggal 12 kemudian tanggal 14 sudah sampai",positive
1636,Okeokeokeokeokeokeoke,positive
1637,"Barang telah sampai dengan baik, sesuai deskripsi, terimakasih",positive
1638,"Produk lumayan bagus, respon seller yg sangat bagus",positive
1639,"Barang sesuai, pelayanan cepat",positive
1640,"Barang ok,, pengriman cepat,, terimakasih",positive
1641,"staples telah diterima dengan.baik, sayang belum dicoba karena swdang diluar. semoga berfungsi dengan baik. terimaksih",positive
1642,Barang bagus dan melebihi angan2,positive
1643,"Barang udh d tes drive, sesuai deskripsi",positive
1644,Paket sdah sampai tujuan... Barang mantaaaaab... Kokoh... Thnx..gan👍👍,positive
1645,"Pengiriman cepat, respon pedagan baik, barang terlihat kuat, kokoh n premium, tp sayang sering jumping klo di pakai mengarah ke atas.",negative
1646,"Barang bagus datang juga cepat, sip!",positive
1647,"Produk sesuai deskripsi, seller fast respone..",positive
1648,Good product &amp; seller.. Thx..,positive
1649,"Mantaaaaaaaabbbbbbb,,,,,,,,,,,,,,,,,",positive
1650,mantappp toppppppp.......,positive
1651,"pesanan sudah diterima dengan baik dan cepat... makasih banyak.
.",positive
1652,"Produk Bagus, Harga Terjangkau, Good Seller..",positive
1653,"Pengiriman cepat, barang mantap dan kokoh karena full metal. Really heavy duty!",positive
1654,barang sudah diterima dengan baik,positive
1655,Good quality produk.. casing aga lama sepertinya ya,positive
1656,"Barang sesuai pesanan, blm dicoba, tp keseluruhan produknya ok banget",positive
1657,"Recomended Saler, barang sesuai",positive
1658,Brg sesuai pesanan Bagus,positive
1659,"terima kasih, barang bagus..., semoga awet..",positive
1660,Produk bagus seperti difoto,positive
1661,"Thanks Gan, sesuai dgn yg ditawarkan sangat rekomended",positive
1662,Barang sudah di terima dan sesuai dengan deskripsi.......,positive
1663,"sesuai deskripsi.
good job",positive
1664,Sipppppp0ppppppppppppppp,positive
1665,sudah sampai terimakasih,positive
1666,"Respon cepat dan Barang sesuai, thanks.",positive
1667,Bagus dan puas. Thanks recommended seller,positive
1668,"Produk nya keren sesuai pic, kuat juga bisa nembus kayu kusen, sangat membantu saya pasang tirai anti nyamuk di kusen pintu, proses cepat, thx gan",positive
1669,Mantap... sepertinya kuattt nih barang..,positive
1670,"Pengiriman cepat, barang berfungsi dengan baik",positive
1671,Barang bagus harga jg ok tks,positive
1672,Barang sudah diterima dg baik Terima kasih,positive
1673,fast respond and delivery,positive
1674,"respon cepat, barang sampai di tangan kurang dari 7 jam,
barang sesuai dengan deskripsi, langsung dipakai aman. semoga awet.",positive
1675,"langsung dicoba. langsung mak nyosssss

goooooooooooooooooooooooood",positive
1676,"thanks gan, barang sudah sampai",positive
1677,"sesuai dgn gambar semoga tahan lama spt ulasan produk dan penjual ,pelayanan ramah dan cepat respon trim gan",positive
1678,"pelayanan baik, kualitas dan ketepatan waktu memuaskan",negative
1679,"Barang sesuai pesanan, respon & pengiriman cukup cepat",positive
1680,"barang sdh sampai, sesuai pesanan.. pengirimannya pun cepat..",positive
1681,"Terima kasih, respon cepat dan produk sesuai dgn katalog.",positive
1682,!!!!!!!!!!!!!!!!!!!!!!!!!!!!,positive
1683,Mantap respon sangat cepat terima kasih gan..,positive
1684,Terimakasih barangnya sdh sampai sesuai gambar,positive
1685,Terima kasih banyak pesanannya sudah sampai. recomended seller,positive
1686,Sangat sesuai dengan yg di tawarkan,positive
1687,"barang sesuai deskripsi, harga ok. terima kasih seller, terima kasih Tokopedia",positive
1688,Barang udah nyampek dan sesuai dengan harapan,positive
1689,very useful. value for money. tq seller.,positive
1690,joss banget....... agak bingung tadi karena gak ada manual nya..,positive
1691,thks................................,positive
1692,barang sudah mendarat..thanks gan..blm dicoba sih..mudah2an bagus n awet..dan bermanfaat,positive
1693,"Kualitas barang ok sesuai harapan bisa untuk reparasi springbed, pelayanan cepat.",positive
1694,kereeennnn......fast respon lagi,positive
1695,kualitas cukup oke dan sesuai dgn di pict !,positive
1696,"ok.. barang sudah diterima, prosesnya sangat cepat!!",positive
1697,terimakasiiiiiih........good seller,positive
1698,Barang sdh di terima gan... Terima kasih,positive
1699,"Terima kasih, paket sudah saya terima.
Packing paket rapi.",positive
1700,thanks gan.                  ..,positive
1701,bagus pacingnya and barangnya mantap.....isya allah order lagi barang lainnya.,positive
1702,"barang sudah sampai, terima kasih",positive
1703,"Barang sesuai gambar, sudah di coba di kayu, kualitas bagus, Pengiriman & respon pembeli cepat, sukses jualannya gan....",positive
1704,Mantab gan barang bagusssssssss,positive
1705,terima kasih semoga awet...........,positive
1706,"Barang udah diterima, thanks gan............................................",positive
1707,"barang udah mendarat gan, cepet banget. thanks",positive
1708,Barang sudah landing...... barang bagus.... berfungsi.... plus gratis isi kombinasi staples..... terima kasih....,positive
1709,"Packingnya sangat rapi, terima kasih.",positive
1710,gooooooooooooooooooooooooooooood,positive
1711,"bagus sesuai deskripsi, pengirimanpun cepat..",positive
1712,"Respon pelayanan dan pengiriman cepat, trims kk. Senang belanja di sini. Sukses terus ya KK",positive
1713,terima kasih barang sudah sampai.....,positive
1714,Sudah sampai paketnya. Terima Kasih...,positive
1715,"barang nya ok gan tapi pengirimannya lama bgt nyampenya,beda banget ma j&t 4 hr nyampe",positive
1716,Barang sudah diterima dan dipakai. Terima kasih banyak,positive
1717,barang sesuai pesanan dan dapat digunakan dengan baik. trims,positive
1718,"sudah dipakai beberapa hari.. barang bagus.. nancepnya lumayan ke kayu, penggunaan gampang",positive
1719,Barabg sesuai dan Pengiriman cepat,positive
1720,mntap gan barang da nyampek...expedisi ok cepet,positive
1721,Terima kasih banyak..............,positive
1722,Terimakasih paket sudah diterima...,positive
1723,pengiriman cepat... barang belum di coba...,positive
1724,okeeeeeeeeeeeeeeeeeeeeeee3333333,positive
1725,"respon cepat, barang oke....pasti jadi langganan thx u HMH Hardware ...kasih bintang 5 yaa",positive
1726,"barang sesuai, kualitas ok dah dicoba sesuai harapan. yg lebih ok, order hari ini besok sampe padahal pake REG..rec seller...",positive
1727,Barang sesuai harapan dan cepat sampai,positive
1728,makasig paket dah sampai dengan selamat,positive
1729,"ok,...sdh smp,..................",positive
1730,barang bagus seseuai yang di etalase. terima kasih bossss,positive
1731,"Barang sudah diterima, proses cepat",positive
1732,"isi yg bawaan terlalu besar bos, jd ga kuat klo buat jok motor, ada yg lebih kecil ga kawatnya..?",positive
1733,"Pengirimannya cepat, sayang barangnya kelihatan stok lama. Untungnya operasionalnya tidak ada masalah. Trims.",positive
1734,sudah dicoba dan hasilnya sesuai dengan deskripsi. Mantap... Recommended Seller...,positive
1735,terima kasih paketnya sudah sampai dr kemaren,positive
1736,Barang cepat sampa.. belum dicoba tapi semoga memenuhi ekspektasi saya,positive
1737,"harga terjangkau dan kualitas mantab, sudah dites di kayu dan berfungsi baik.. terima kasih",positive
1738,"Barang diterima dengan baik, thank you",positive
1739,superrrrrr cepat nyampenya.. thanx ya,positive
1740,"oke brgny sip, order ke 2 x.........",positive
1741,thank you................................,positive
1742,great seller pesanan sesuai deskripsi,positive
1743,Barang sudah diterima. Fast Respond! Mantap. Terima kasih ya..,positive
1744,Barang diterima sesuai pesanan. Puasss,positive
1745,okeeeeeeeeeeeeeeeeeeeeere................,positive
1746,oke mantap gan brg bgs....................,positive
1747,Alhamdulillah barang sampai.... kualitas bagus terbuat dari besi dan ada karet di grib bagian lubang tangan...  InsyaAllah barang berkulitas... Terimakasih,positive
1748,"Sudah diterima yaa respon dan pengiriman cepat,barang sudah dicoba dan oke..makasih :)",positive
1749,"pelayanan cepat, sesuai waktu yg diharapkan.semoga makin maju",positive
1750,Barang sudah diterima dan pengiriman sangat cepat.,positive
1751,"fast respons, barang ok, masih tersegel dalam kemasan dan sesuai deskripsi ada bonus isi staplernya 600 biji",positive
1752,Barang sudah sampai dan sudah dicoba mantap boss.. terima kasih..,positive
1753,"Barang bagus, kokoh, mantap digenggaman dan benar heavy duty. Khusus utk isi staple dgn lebar/jarak kaki 10mm, jd bukan utk diisi dgn staples biasa (no.3; 24/6). Ada fitur quick jam release krn dlm 30x nembak ada saja sekali dua kali nge-jam, tapi sekali nembak kayu keras bakalan susah mencabut staple-nya.",negative
1754,sipp..............................,positive
1755,"barang sudah sampe gan, mutu barang yang bagus dan layanan yang cepat",positive
1756,jok saya jadi bagus lagi terimakasih staple gun,positive
1757,"Buat staples langit2 kok sering ngejam yak, trus gantungannya itu sering jadi ngeganjel gitu. Btw, barangnya sesuai pesanan. Terimakasih Gan.",negative
1758,Barang udah sampai gan... makasih,positive
1759,"Alhamdulillah , barang sudah saya terima sore tadi & sudah saya coba dengan baik .",positive
1760,"Siip sdh sampai,sesuai permintaan.Mdh2an bagus,blum dicoba.",positive
1761,barang ada yg gak sesuai sama buset lama banget dikirimnya.....kapok,negative
1762,"cukup baik untuk skala kayu, bahan besi nya mantap dan kokoh",positive
1763,bagusnya......................,positive
1764,"barang oke pengiriman cepat, thank you seller ;)",positive
1765,barang sudah terima dan sesuai yg diharapkan. terima kasih,positive
1766,OK mantabs gan tp belum dicoba...thanx ya............!!,positive
1767,"Barangnya mantap sdh dicoba, seller fast respon juga. Terima kasih ya.",positive
1768,tqtqtqtqtqtqtqtqtqtqtqtqtqtqtqtqtqtqtq,positive
1769,Thx brg udah sampai dgn selamat,positive
1770,"barang oke, seller oke, semoga awet thx",positive
1771,"Thankyou Gan
Barangnya oke
Walaupun murah tp tetep oke",positive
1772,"mantapppp barang sudah diterima dg baik, pengiriman cepat banget, thanks seller",positive
1773,bagus bagus bagus.. bermanfaat.. barang berkualitad,positive
1774,"Bagus Gan barangnya, semoga awet..................",positive
1775,barang ok sesuai gambar dan berfungsi baik top tenan,positive
1776,"barang sudah diterima, namun blm dicoba",positive
1777,"Barang sesuai deskripsi. Tampilan mantap, belum di coba. Mudah2an ok.",positive
1778,Sampe gan barang. Baguss. Recomend,positive
1779,Bagus barangnya mantap banget ...lain kali pesan lagi ok okok ok,positive
1780,Ytthhjjiuyfcdrhnnnnkkkkkook9uwvxu9dvwigdwbixbwixbaibxiwbxwiwdv,negative
1781,great..........................,positive
1782,"paket sdh diterima, barangnya berkualitas,
terima kasih gan, sukses tokonya..",positive
1783,Sudah di coba. Sesuai... Barang top markotop. Pengiriman pakai JNE OKE tp pelayanan JNE YES....,positive
1784,"thanks barang sudah ditrerima dengan baik, dan sangat bermanfaat. sukses gan",positive
1785,"Terimakasih gan,barang di terima dengan cepat semoga bermanfaat...",positive
1786,Oke pengiriman cepat dan bagus makasih,positive
1787,"Barangnya bagus, kuat... sesuai dengan diskripsi..",positive
1788,"barangnya bagus sama persis dgn foto , tks gan",positive
1789,barang sudah sy terima... terimakasih,positive
1790,Barang sesuai pesanan. cepat dikirim,positive
1791,ALHAMDULILLAH...pesanan saya sdh sampai....mannnttttaaapppp...fast respond..pokoknya recomended seller lah....,positive
1792,"proses pengiriman cepat, barang tampaknya OK tp blm dicoba. thx",positive
1793,sesuai dengan orderan. barang ok,positive
1794,"fast response, barang sdh diterima tapi belum dicoba",positive
1795,"berfungsi dengan baik, terima kasih",positive
1796,"sesuai harapan, gan... udah di coba juga dan bisa bekerja dengan baik.
makasih, gan!",positive
1797,"Barang sdh sampai dg sempurna, tp blm dicoba.",positive
1798,mantap...............................................,positive
1799,"Cepat sampainya,,, Thanks... Barang Mulus",positive
1800,"Barangnya bagus, dan delivery cukup cepat. Btw, untuk isinya apakah ada yg tdk terlalu tebal ? Krn saya mau pakai untuk aplikasi dr kain ke triplek untuk dekorasi. Kalau tebal, takut merusak kain dekorasi. Trims",positive
1801,ok. diterimaaaaaaa kapan2 sambungvpagi,positive
1802,Sampai..............................,positive
1803,sudah sampaiiiii ok...............,positive
1804,sdh sampe. barang sesuai pesanan... moga awet... tq,positive
1805,Barang sesuai pesanan datang tepat waktu trims,positive
1806,"barang sudah diterima, terimakasih...",positive
1807,"Respons cepat,
Sesuai pesanan, 
Recommended seller",positive
1808,"sudah diterima, recomended seller",positive
1809,"proses cepat, barangnya sesuai dengan harapan, top deh",positive
1810,terima kasih bos barang sudah diterima dengan baik,positive
1811,Trims gan barang sudah diterima dan di tes OK. Ini ada orderan lagi,positive
1812,"Bagus banget dengan harga dan fungsinya. 3 in 1 untuk isi staples yang sudut 90derajat, curved dan brad nail. Brang kokoh dari besi semua.",positive
1813,keren................................................,positive
1814,Barang sesuai pesanan.........,positive
1815,"staples 3 way sudah sampai dan dites barangnya bagus & murah, pesanan pun cepat dikirimnya oleh seller.",positive
1816,Trimakasih gan..barangnya sdh diterima..sesuai..:),positive
1817,terimakasih gan . bagus barangnya,positive
1818,Makasih barang sudah sampai,positive
1819,Lumayan bagus............,positive
1820,barang sesuai yg tertera dan gambar.. terima kasih gan... sukses terus yaaaa,positive
1821,"Barang bagus sesuai deskripsi
Thanks",positive
1822,"Produk bagus, sudah dicoba untuk kayu yg lunak, pas,  untuk kayu yg keras kurang pas, seller top, cepat, recommended!",positive
1823,Packing bagus. Produk sesuai dan bisa dipake di staples gun yg saya beli di toko ini juga.. Respon n pengiriman jg. Cepat.. Mantab lah.. 👍👍,positive
1824,Mantap n bagus kwalitasny,positive
1825,sangaaaat puuuuuaaaaasss... recomennded store,positive
1826,Terlalu kecil ukurannya,positive
1827,Terimakasih gan barang josss gandosss sesuai..  Mantap,positive
1828,"Produk bagus, tp ternyata bagian atas dijahit ga bisa elastis.. Jd ga bisa masuk kaki bagian belakang.. Meski size 44",positive
1829,sepatunya bagus tidak ada cacat tapi ukuran 44 ternyata masih cukup sesak untuk ukuran kaki saya,positive
1830,Sepatu sesuai dengan harganya,negative
1831,Ini ukurannya ga normal kayak kebanyakan ukuran sepatu yang ada di pasaran. Ukurannya agak kecil2.,negative
1832,"✔ Penjual responsif dan kooperatif.
✔ Pengiriman cepat (1 hari ke Jak-Tim, J&amp;T Regular).
✔ Packing aman.
✔ Barang sangat bagus, sesuai harapan, 95% serupa original.

Saran untuk yg mau beli: Ukuran kaki saya 42. Saya pesan barang ini ukuran 44 dan ternyata ukuran size 44 setara ukuran 41.",positive
1833,"Packing rapih dan barang sesuai, good seller lah, thanks gan",positive
1834,"Model brang sdh sesuai deskripsi... Tapi kenapa ukuran 44nya ndak sesuai ya.. ukuran panjang sesuai tapi ukuran tinggi spatunya kyk ukuran kaki no 40. 

Aku kasih foto sepatunya yg tak coba aku pakai.",negative
1835,"Tidak recommended, kaki tidak bisa masuk, sepatu seperti sablonan, kualitas not ok",negative
1836,biar bintang yg berbicara,positive
1837,Barangnya sesuai gambar,positive
1838,Good job good seller.. packing bagus mendarat dgn cantik.. pertahankan kepuasan pelanggan,positive
1839,Terima kasih. Sepatunya sudah sampai,positive
1840,Produk sesuai gambar .. walaupun masalah karena bagian pas masukny kecil JD GK muat . Overall oke sih .. seller respon cepat .,positive
1841,"Overall bagus, barang ga ada kekurangan, semua lengkap, kaca aman, petunjuk pemasangan sedikit bikin mikir 😅, package bagus, bebas ongkir ternyata pk dakota cargo, lama dtngnya tp krn mesen dr seblm lebaran sie, wajar lah.. Top 👍👍",positive
1842,"Barang bagus, sesuai deskripsi.
Pemasangan juga gampang bisa sendiri.",positive
1843,"Produk sesuai dengan yang di foto, tidak ada cacat. Top!",positive
1844,"Produknya bagus, harganya kompetitif, free ongkir lagi",positive
1845,Overall barang bagus..terima kasih,positive
1846,Mantap sekali kualitas nya. Terima Kasih Banyak!,positive
1847,Trimss yaaaaaaaaaaaaaaaa,positive
1848,Barang bagus sesuai harapan.,positive
1849,Goddddddddd dahhh qokee,positive
1850,"Ga kecewa pokoknya deh, ++bagusnyaa",positive
1851,"mayan harga segini, sepatunya yabg kanan lancip yang kiri tumpul",negative
1852,Mantap si tapi lama nyampe nya wkwk,positive
1853,"bagus, terima kasihh😊",positive
